ds,y
2016-12-01,1492
2016-12-01,731
2016-12-01,2082
2016-12-01,527
2016-12-01,1341
2016-12-01,2396
2016-11-01,2153
2016-11-01,2417
2016-11-01,2317
2016-11-01,1339
2016-11-01,2276
2016-11-01,929
2016-11-01,1878
2016-11-01,1630
2016-11-01,1220
2016-11-01,2417
2016-11-01,1783
2017-05-01,773
2017-05-01,2478
2017-05-01,2191
2016-12-01,1537
2017-03-01,1321
2017-03-01,1170
2017-03-01,2439
2017-02-01,1311
2017-02-01,1355
2015-08-01,763
2015-08-01,2003
2015-08-01,2337
2015-08-01,2479
2015-08-01,1638
2015-08-01,772
2017-04-01,755
2017-04-01,836
2016-11-01,522
2017-04-01,2386
2017-04-01,686
2017-04-01,992
2017-04-01,2044
2017-04-01,1382
2017-04-01,1351
2017-04-01,2020
2017-04-01,2165
2017-04-01,695
2017-04-01,1820
2017-04-01,1019
2017-04-01,508
2017-04-01,2459
2017-04-01,1076
2017-04-01,2453
2016-03-01,876
2018-11-01,2472
2018-11-01,1400
2017-09-01,2394
2017-09-01,1244
2017-09-01,2435
2017-09-01,2194
2017-09-01,1098
2017-09-01,783
2017-09-01,1014
2017-09-01,671
2017-09-01,2433
2017-09-01,532
2017-09-01,1494
2017-09-01,1320
2017-09-01,2319
2017-09-01,1584
2017-09-01,645
2017-09-01,947
2016-09-01,1697
2016-09-01,1790
2016-09-01,1501
2015-06-01,2396
2015-06-01,538
2015-06-01,962
2015-06-01,1677
2015-06-01,817
2015-06-01,1666
2015-06-01,2318
2015-06-01,815
2017-09-01,2014
2017-09-01,1599
2017-09-01,978
2017-09-01,1249
2018-11-01,506
2015-07-01,2150
2015-07-01,1596
2015-07-01,1685
2015-11-01,870
2017-07-01,1232
2017-07-01,843
2017-07-01,1319
2017-07-01,2439
2017-07-01,1725
2017-07-01,1793
2017-07-01,1499
2017-07-01,880
2018-11-01,2242
2016-10-01,1701
2016-10-01,1063
2016-10-01,1915
2016-10-01,871
2016-10-01,1901
2015-09-01,770
2015-09-01,1306
2015-09-01,2041
2015-09-01,1716
2017-08-01,1368
2017-08-01,1723
2017-08-01,1229
2017-08-01,1114
2015-09-01,663
2016-10-01,600
2018-04-01,1436
2017-03-01,548
2018-05-01,1341
2018-09-01,1141
2018-09-01,611
2018-09-01,2480
2018-09-01,832
2018-09-01,1045
2015-12-01,2306
2015-12-01,1934
2015-12-01,1098
2018-09-01,1643
2018-06-01,1531
2015-12-01,2222
2015-10-01,1022
2015-12-01,1541
2018-06-01,1180
2018-06-01,972
2018-06-01,1924
2018-06-01,907
2018-06-01,644
2018-06-01,695
2018-06-01,2240
2018-08-01,2415
2018-08-01,1685
2015-12-01,814
2015-12-01,1900
2018-05-01,1827
2018-05-01,951
2018-05-01,1328
2018-09-01,665
2018-05-01,2169
2018-05-01,1149
2018-08-01,732
2015-12-01,505
2018-07-01,1953
2015-12-01,1655
2018-08-01,1905
2018-07-01,1438
2018-07-01,2225
2015-02-01,1338
2018-08-01,1643
2018-08-01,2253
2015-12-01,672
2018-06-01,1530
2018-06-01,1486
2015-11-01,2100
2015-11-01,798
2015-11-01,2013
2015-11-01,1442
2015-11-01,2234
2015-11-01,801
2015-03-01,1228
2015-03-01,2262
2018-04-01,2368
2015-03-01,1822
2015-11-01,1717
2015-11-01,1121
2015-03-01,1818
2015-12-01,1230
2015-03-01,1023
2015-03-01,1620
2015-12-01,2172
2015-11-01,1018
2018-04-01,2153
2015-03-01,527
2015-03-01,851
2015-11-01,727
2018-06-01,557
2015-03-01,1774
2015-03-01,2238
2015-11-01,1709
2015-11-01,1805
2015-11-01,1843
2015-11-01,1176
2015-11-01,1202
2015-11-01,2422
2018-04-01,1455
2018-04-01,562
2015-11-01,1584
2018-04-01,1033
2018-04-01,952
2018-04-01,1100
2018-04-01,1061
2018-04-01,603
2018-04-01,2293
2018-04-01,1750
2015-11-01,2479
2015-09-02,932
2015-09-02,947
2015-09-02,2256
2016-10-02,1306
2015-09-02,1612
2016-10-02,1614
2016-10-02,1408
2016-10-02,597
2016-10-02,1450
2016-10-02,1343
2016-10-02,1678
2016-10-02,1520
2017-07-02,2472
2017-07-02,2355
2015-09-02,1379
2017-07-02,1053
2016-10-02,519
2015-02-02,525
2015-02-02,612
2015-02-02,904
2017-08-02,812
2017-08-02,787
2017-08-02,1943
2015-09-02,1840
2015-09-02,2122
2017-07-02,2426
2015-09-02,949
2015-12-02,1006
2015-12-02,1331
2017-09-02,1491
2017-09-02,2186
2017-09-02,1817
2017-09-02,1621
2015-12-02,551
2015-12-02,2057
2015-12-02,973
2015-06-02,1574
2015-06-02,1065
2017-09-02,706
2015-06-02,1271
2015-06-02,2114
2015-12-02,1082
2015-12-02,530
2015-12-02,1556
2015-12-02,1409
2015-12-02,1419
2015-12-02,2304
2016-08-02,1777
2016-08-02,981
2015-06-02,544
2015-09-02,683
2017-09-02,2069
2017-09-02,1684
2015-12-02,1297
2015-12-02,910
2017-09-02,620
2017-09-02,1644
2017-09-02,2470
2017-09-02,2235
2017-09-02,955
2017-09-02,1806
2017-09-02,2284
2017-09-02,548
2017-09-02,2448
2017-09-02,2479
2017-09-02,1950
2017-09-02,1377
2017-09-02,2369
2017-09-02,882
2017-09-02,1095
2017-09-02,1970
2017-09-02,2194
2017-09-02,2181
2017-09-02,1365
2016-10-02,2470
2018-09-02,1209
2016-10-02,2440
2017-05-02,859
2017-05-02,2136
2017-05-02,589
2017-05-02,2209
2017-05-02,1859
2017-05-02,1090
2017-05-02,1956
2017-05-02,1260
2018-09-02,1567
2018-09-02,1988
2018-09-02,2306
2018-09-02,729
2018-09-02,1590
2018-09-02,1046
2018-09-02,1251
2018-09-02,2086
2018-09-02,1590
2018-09-02,1287
2018-09-02,2086
2018-09-02,1116
2018-09-02,1068
2016-11-02,1366
2016-11-02,2449
2016-11-02,821
2016-11-02,602
2017-05-02,1079
2017-05-02,1036
2017-05-02,905
2017-05-02,1455
2017-02-02,723
2017-02-02,1655
2017-02-02,1275
2017-02-02,912
2017-02-02,1949
2015-08-02,1227
2015-08-02,1391
2015-08-02,746
2017-01-02,527
2017-01-02,625
2015-11-02,1765
2015-11-02,1905
2016-11-02,1007
2015-11-02,2417
2015-11-02,1560
2015-11-02,1845
2015-11-02,573
2015-11-02,887
2015-11-02,1404
2015-11-02,1672
2017-04-02,1997
2015-11-02,1215
2018-09-02,670
2018-09-02,1579
2018-09-02,2372
2018-09-02,1226
2015-11-02,1682
2016-11-02,1318
2016-11-02,1062
2016-11-02,917
2018-11-02,1406
2018-11-02,2167
2018-11-02,2411
2018-11-02,926
2018-11-02,1069
2018-11-02,1247
2018-11-02,2271
2018-11-02,2421
2018-11-02,1471
2018-11-02,944
2018-11-02,1327
2018-11-02,694
2018-11-02,1140
2018-09-02,1416
2018-09-02,2357
2016-08-02,1955
2017-06-02,972
2017-06-02,1536
2017-06-02,2169
2015-07-02,1647
2015-07-02,929
2018-09-02,712
2018-09-02,2222
2018-09-02,918
2017-06-02,1680
2016-10-02,862
2018-09-02,1136
2016-10-02,1382
2018-11-02,1518
2018-11-02,2040
2016-11-02,1398
2016-11-02,723
2016-11-02,2207
2018-09-02,1734
2018-09-02,2189
2018-09-02,1937
2018-09-02,921
2018-09-02,1401
2018-09-02,1433
2018-09-02,2225
2018-09-02,1886
2018-09-02,2202
2018-11-02,1868
2018-09-02,1863
2018-09-02,1832
2016-10-02,1361
2016-10-02,1205
2018-11-02,775
2018-11-02,2301
2018-11-02,2128
2018-11-02,1539
2018-11-02,2422
2018-11-02,1615
2018-11-02,2009
2018-11-02,1530
2018-11-02,1340
2018-09-02,826
2016-08-02,2357
2016-04-02,2295
2016-08-02,2392
2018-10-02,637
2018-10-02,2229
2018-10-02,901
2018-10-02,601
2018-10-02,704
2018-10-02,1565
2018-10-02,1099
2018-10-02,2389
2018-01-02,1482
2018-01-02,1716
2018-10-02,1903
2018-04-02,1331
2016-01-02,1733
2016-01-02,1973
2016-01-02,1020
2016-01-02,1353
2016-01-02,1138
2016-01-02,1591
2016-01-02,1362
2016-08-02,1224
2018-04-02,781
2018-04-02,634
2016-01-02,2493
2017-12-02,1571
2015-05-02,537
2018-06-02,2145
2018-01-02,2081
2018-06-02,1130
2018-06-02,1073
2018-06-02,852
2018-06-02,1379
2018-01-02,2216
2018-01-02,2066
2018-10-02,2439
2018-10-02,2032
2018-10-02,1085
2015-05-02,2463
2018-10-02,2399
2018-01-02,1846
2018-01-02,503
2018-10-02,2018
2018-10-02,1333
2018-10-02,895
2018-10-02,664
2018-10-02,777
2018-10-02,1549
2018-10-02,1712
2018-10-02,940
2018-10-02,1531
2017-12-02,1105
2017-12-02,2089
2017-12-02,1175
2018-05-02,806
2018-12-02,794
2018-05-02,733
2018-12-02,786
2018-12-02,2038
2018-12-02,1586
2018-12-02,1949
2018-12-02,1908
2018-12-02,2125
2018-12-02,1802
2018-05-02,1813
2018-12-02,512
2018-12-02,1471
2018-12-02,1359
2018-12-02,1097
2018-12-02,1032
2018-10-02,886
2018-10-02,522
2018-10-02,1589
2018-10-02,1842
2018-05-02,540
2018-05-02,1174
2018-12-02,1109
2018-12-02,1900
2018-12-02,2019
2018-12-02,1656
2017-12-02,1099
2017-12-02,2048
2017-12-02,632
2017-12-02,2318
2017-12-02,2439
2017-12-02,1435
2017-12-02,2395
2017-12-02,2187
2017-12-02,1262
2017-12-02,1242
2017-12-02,825
2017-12-02,1602
2017-12-02,1608
2016-04-02,2404
2016-04-02,630
2016-04-02,1180
2016-04-02,1346
2016-04-02,570
2018-04-02,1192
2018-12-02,692
2018-12-02,660
2018-12-02,1983
2018-12-02,1756
2018-01-02,1448
2018-12-02,1257
2018-12-02,1431
2015-04-02,1134
2016-07-02,1923
2016-07-02,942
2016-07-02,938
2016-07-02,2427
2016-07-02,722
2016-07-02,2465
2016-07-02,711
2018-12-02,1504
2018-03-02,826
2018-03-02,1500
2017-10-02,742
2018-12-02,2424
2015-03-02,1823
2018-03-02,1907
2016-03-02,1947
2018-07-02,1631
2018-07-02,2440
2016-07-02,1830
2016-07-02,1527
2017-10-02,2077
2017-10-02,2023
2016-07-02,1524
2016-07-02,2310
2016-07-02,2375
2018-12-02,1312
2018-12-02,2241
2018-12-02,2032
2018-03-02,723
2018-03-02,2311
2018-04-02,2445
2017-10-02,1203
2018-03-02,2058
2018-03-02,2425
2018-03-02,2017
2018-03-02,765
2018-03-02,2479
2017-10-02,651
2017-10-02,1931
2017-10-02,2378
2018-03-02,1730
2016-07-02,2055
2018-12-02,1337
2015-04-02,1517
2015-04-02,1664
2018-02-02,976
2018-02-02,2112
2015-03-02,1733
2018-12-02,1834
2018-12-02,2266
2015-03-02,2400
2015-03-02,1919
2018-02-02,761
2016-08-02,1122
2018-02-02,1246
2018-06-02,2491
2018-02-02,2091
2018-02-02,1019
2018-02-02,2414
2015-10-02,546
2015-10-02,1170
2015-12-02,1276
2015-10-02,702
2016-03-02,786
2018-12-02,2374
2015-04-02,2023
2015-10-02,2344
2015-04-02,1776
2018-12-02,1548
2018-12-02,2097
2018-02-02,1261
2016-05-02,839
2016-05-02,995
2018-02-02,640
2015-10-02,2078
2015-10-02,2248
2015-10-02,1375
2015-04-02,1826
2016-03-02,983
2016-02-03,1080
2016-02-03,1501
2017-02-03,2450
2016-02-03,1922
2016-02-03,662
2016-11-03,1324
2017-01-03,1471
2017-01-03,1241
2015-11-03,1797
2015-11-03,2101
2016-12-03,1964
2016-12-03,1275
2016-12-03,1916
2016-12-03,944
2016-12-03,2201
2016-12-03,2323
2016-02-03,1901
2016-12-03,2241
2016-12-03,772
2016-12-03,2112
2016-12-03,2137
2016-12-03,1196
2017-01-03,1934
2017-01-03,1123
2017-01-03,881
2017-01-03,2130
2016-12-03,734
2016-11-03,1460
2016-01-03,1371
2016-11-03,2053
2015-09-03,1526
2015-10-03,2455
2015-10-03,1378
2015-10-03,2282
2015-10-03,1249
2015-10-03,2042
2015-10-03,963
2015-10-03,889
2015-10-03,540
2016-05-03,1113
2016-05-03,2295
2016-05-03,2399
2016-05-03,744
2016-05-03,2316
2016-05-03,1265
2016-05-03,1751
2016-05-03,529
2016-05-03,2019
2016-05-03,624
2015-09-03,1062
2016-09-03,2182
2016-09-03,1597
2016-09-03,2097
2016-07-03,1479
2016-07-03,1332
2016-07-03,619
2016-07-03,1665
2015-10-03,904
2015-10-03,1975
2015-10-03,797
2015-10-03,2187
2016-07-03,2368
2016-05-03,1702
2016-09-03,1537
2016-09-03,711
2016-09-03,1032
2016-09-03,2478
2016-09-03,1244
2016-09-03,916
2016-09-03,2354
2016-09-03,1715
2016-09-03,2239
2016-09-03,2281
2016-09-03,1692
2016-05-03,1720
2016-05-03,2226
2015-10-03,853
2015-11-03,1259
2015-11-03,585
2015-11-03,2065
2018-12-03,1056
2018-12-03,1136
2018-12-03,1358
2016-01-03,1951
2016-01-03,1376
2016-01-03,2419
2015-11-03,1451
2018-12-03,2344
2016-10-03,530
2016-10-03,1856
2016-10-03,2196
2016-10-03,2406
2016-10-03,1746
2016-10-03,2452
2018-12-03,2325
2018-12-03,1722
2016-11-03,1989
2018-12-03,1717
2016-11-03,1773
2015-11-03,2092
2015-11-03,1431
2015-12-03,1932
2015-12-03,1444
2018-12-03,1628
2018-12-03,523
2018-12-03,2332
2018-12-03,796
2018-12-03,1820
2018-12-03,1580
2018-12-03,1936
2015-11-03,906
2018-12-03,900
2018-12-03,567
2018-12-03,1666
2018-12-03,2093
2018-12-03,601
2015-11-03,2101
2015-11-03,632
2015-11-03,2236
2015-11-03,688
2015-11-03,588
2018-12-03,1946
2016-02-03,1045
2015-01-03,864
2017-03-03,1134
2017-10-03,1604
2017-10-03,2208
2017-10-03,1784
2017-10-03,618
2017-10-03,2263
2017-10-03,1274
2017-10-03,2278
2017-11-03,1934
2017-11-03,1797
2017-11-03,1763
2017-11-03,691
2017-11-03,1957
2017-11-03,1841
2017-11-03,1389
2017-11-03,1406
2017-11-03,1559
2017-11-03,1880
2017-11-03,1021
2017-11-03,2142
2017-11-03,1720
2017-11-03,2220
2017-11-03,2171
2017-11-03,2155
2018-06-03,1244
2017-11-03,799
2017-11-03,1656
2017-11-03,1271
2017-11-03,2425
2017-11-03,558
2017-11-03,713
2017-11-03,2432
2017-11-03,2017
2018-06-03,1476
2018-06-03,1559
2018-06-03,1643
2017-09-03,788
2017-09-03,2417
2017-09-03,927
2017-09-03,2304
2017-09-03,1960
2017-09-03,1706
2017-09-03,1852
2015-03-03,2173
2018-07-03,1483
2018-07-03,1589
2018-07-03,1492
2018-07-03,1941
2017-09-03,929
2017-09-03,2080
2018-07-03,1010
2018-06-03,1835
2017-09-03,615
2017-09-03,1286
2015-03-03,1289
2015-03-03,2413
2015-03-03,1393
2015-03-03,2472
2015-03-03,1570
2015-03-03,2079
2017-09-03,1598
2015-03-03,1719
2015-06-03,794
2015-06-03,2491
2018-04-03,1102
2015-06-03,1789
2015-03-03,861
2017-09-03,898
2015-06-03,2368
2018-06-03,1657
2018-06-03,2158
2018-06-03,1646
2018-01-03,2376
2018-01-03,1249
2018-01-03,506
2018-05-03,2440
2018-05-03,1311
2018-05-03,1375
2018-02-03,2233
2018-05-03,1061
2017-12-03,1819
2017-12-03,1226
2017-12-03,1863
2017-12-03,1515
2017-12-03,1694
2017-12-03,2283
2018-05-03,2176
2017-12-03,930
2018-02-03,2238
2015-04-03,1416
2018-03-03,834
2018-03-03,1495
2018-03-03,595
2018-03-03,1841
2018-03-03,687
2018-03-03,2396
2015-04-03,2209
2018-03-03,1754
2018-02-03,2139
2018-02-03,1327
2018-02-03,1704
2018-02-03,1689
2018-02-03,2183
2015-04-03,1900
2018-02-03,1580
2018-07-03,1586
2017-12-03,2310
2017-12-03,747
2018-10-03,635
2018-10-03,1491
2018-10-03,1778
2018-10-03,1350
2017-03-03,1800
2018-06-03,636
2018-10-03,1899
2018-06-03,1033
2018-06-03,1514
2018-06-03,711
2018-06-03,1971
2018-06-03,1107
2018-06-03,1609
2018-06-03,1104
2018-06-03,1366
2017-12-03,1007
2018-10-03,1149
2018-10-03,1139
2017-12-03,997
2017-12-03,1182
2017-12-03,2128
2017-12-03,2042
2017-12-03,2285
2017-12-03,2111
2018-10-03,2013
2015-05-03,994
2018-05-03,1511
2018-05-03,1695
2018-05-03,871
2015-05-03,1407
2015-05-03,558
2018-10-03,1676
2018-05-03,1478
2018-07-03,2405
2015-06-03,799
2018-07-03,1400
2018-09-03,1158
2018-09-03,1078
2018-09-03,2101
2018-09-03,1686
2017-05-03,1260
2017-05-03,2052
2017-05-03,929
2017-05-03,1929
2017-05-03,1862
2017-05-03,666
2017-05-03,1402
2017-05-03,1212
2017-05-03,2250
2017-04-03,1512
2015-02-03,1546
2018-07-03,646
2018-11-03,1419
2018-11-03,2191
2018-11-03,761
2018-11-03,2430
2018-11-03,2005
2018-11-03,2162
2018-11-03,2036
2018-11-03,1047
2018-11-03,508
2018-11-03,633
2018-11-03,713
2018-11-03,1232
2015-02-03,1015
2018-11-03,2471
2017-04-03,1301
2017-04-03,1571
2017-03-03,660
2017-03-03,796
2017-03-03,2472
2017-03-03,607
2017-03-03,1546
2017-03-03,2008
2015-08-03,2138
2015-08-03,1559
2015-08-03,2245
2015-08-03,2421
2015-08-03,2040
2015-08-03,1742
2017-03-03,508
2017-04-03,2143
2017-03-03,521
2017-03-03,659
2017-03-03,1937
2017-03-03,1192
2017-03-03,1868
2018-09-03,580
2018-09-03,1101
2018-09-03,2409
2018-09-03,974
2018-09-03,876
2018-09-03,1262
2018-09-03,1682
2018-09-03,1534
2018-09-03,1516
2017-03-03,1640
2018-11-03,508
2018-04-03,1610
2018-08-03,2343
2018-07-03,2396
2018-08-03,1710
2018-08-03,1969
2018-07-03,986
2018-08-03,995
2017-07-03,2071
2017-07-03,609
2017-07-03,1465
2017-07-03,2025
2018-11-03,650
2018-11-03,2404
2018-11-03,1400
2018-11-03,2130
2018-11-03,2246
2018-11-03,2208
2018-07-03,2045
2018-07-03,1003
2018-07-03,973
2018-07-03,2237
2017-06-03,1489
2018-07-03,2264
2018-07-03,1143
2018-07-03,588
2018-07-03,1398
2018-11-03,2124
2018-11-03,2475
2018-07-03,506
2018-08-03,523
2018-08-03,1998
2017-08-03,1090
2017-08-03,536
2018-08-03,556
2018-11-03,1881
2018-09-04,2322
2015-11-04,1079
2015-11-04,1123
2018-08-04,1355
2018-09-04,2393
2018-09-04,2122
2018-09-04,581
2018-09-04,1284
2018-09-04,795
2018-09-04,1792
2018-09-04,2291
2018-12-04,2343
2018-09-04,2448
2018-04-04,1231
2018-04-04,1039
2018-04-04,1714
2018-04-04,1153
2018-09-04,2426
2018-09-04,1288
2018-09-04,1576
2018-04-04,995
2018-09-04,1371
2018-09-04,1782
2018-09-04,1839
2018-09-04,1976
2018-04-04,1306
2015-11-04,1771
2016-01-04,1733
2016-01-04,1449
2016-01-04,1082
2018-09-04,671
2018-09-04,979
2015-11-04,1117
2018-05-04,1203
2018-05-04,1606
2015-11-04,1509
2015-11-04,1273
2015-11-04,1751
2015-11-04,1669
2015-11-04,1641
2015-11-04,2296
2015-11-04,1171
2015-11-04,1027
2015-11-04,2334
2015-11-04,1122
2018-12-04,619
2018-12-04,1168
2018-12-04,635
2018-12-04,1122
2018-12-04,1120
2018-12-04,606
2018-12-04,1790
2018-12-04,1139
2018-12-04,2469
2018-12-04,1610
2018-12-04,519
2018-12-04,985
2018-12-04,951
2018-12-04,2208
2018-12-04,2465
2018-08-04,752
2018-05-04,1230
2018-08-04,2294
2015-11-04,2436
2018-05-04,1676
2018-05-04,1576
2018-12-04,2480
2018-06-04,972
2018-06-04,1831
2018-06-04,1324
2018-06-04,2346
2018-09-04,1852
2018-09-04,2068
2018-06-04,2189
2018-06-04,1649
2018-05-04,1411
2018-05-04,1890
2018-05-04,1169
2018-05-04,1216
2018-05-04,1060
2018-05-04,892
2018-06-04,1473
2018-06-04,976
2015-12-04,1028
2018-09-04,1286
2018-09-04,1642
2018-09-04,1494
2018-09-04,1109
2018-09-04,2272
2018-09-04,2271
2018-12-04,2099
2017-11-04,2313
2018-03-04,807
2017-06-04,1432
2017-06-04,683
2017-06-04,523
2017-06-04,1540
2017-06-04,855
2017-06-04,2230
2016-10-04,575
2016-10-04,1483
2016-10-04,2108
2016-10-04,2151
2018-11-04,1709
2018-11-04,1194
2018-11-04,1907
2018-11-04,932
2018-11-04,619
2018-11-04,2340
2018-11-04,1875
2017-06-04,962
2017-06-04,1481
2017-06-04,1232
2017-06-04,2492
2016-09-04,620
2017-08-04,2305
2017-08-04,1881
2017-08-04,1097
2017-08-04,1419
2017-08-04,2056
2017-08-04,1644
2017-08-04,1036
2018-11-04,2227
2017-08-04,2381
2017-07-04,2439
2017-07-04,661
2017-07-04,2468
2016-09-04,556
2017-07-04,1937
2017-07-04,1088
2017-07-04,1997
2017-06-04,2163
2017-07-04,1936
2016-09-04,1200
2018-11-04,1207
2018-11-04,2150
2016-12-04,1907
2016-12-04,2207
2016-12-04,1020
2016-12-04,2201
2016-12-04,1916
2016-12-04,1179
2016-12-04,2395
2016-12-04,1485
2016-12-04,2018
2017-03-04,1612
2017-01-04,2005
2017-01-04,1291
2017-01-04,1814
2017-02-04,2274
2017-02-04,1146
2017-02-04,1316
2018-09-04,1085
2016-12-04,1411
2016-12-04,877
2016-12-04,667
2016-12-04,1344
2018-11-04,720
2018-11-04,1976
2018-11-04,1814
2018-11-04,1840
2018-11-04,1474
2018-11-04,866
2017-04-04,1752
2017-04-04,902
2018-11-04,556
2017-04-04,1947
2017-04-04,2261
2017-04-04,1179
2017-03-04,2012
2017-03-04,2369
2017-03-04,1144
2016-12-04,2430
2016-12-04,1894
2016-12-04,1571
2017-04-04,1223
2018-03-04,1272
2016-09-04,1115
2016-09-04,501
2016-04-04,1614
2018-10-04,730
2017-11-04,1137
2017-11-04,2357
2017-11-04,1430
2017-11-04,1377
2017-11-04,1344
2017-11-04,1054
2017-11-04,1254
2017-11-04,1070
2017-11-04,2482
2017-11-04,1449
2017-11-04,1485
2017-11-04,1787
2017-11-04,1836
2017-11-04,1137
2017-11-04,2062
2016-04-04,762
2016-04-04,1783
2016-04-04,1926
2016-04-04,933
2018-03-04,502
2018-03-04,841
2018-03-04,910
2018-03-04,2216
2018-02-04,738
2017-12-04,1878
2017-12-04,1324
2017-12-04,1945
2017-11-04,2098
2017-12-04,604
2017-12-04,1034
2017-12-04,1493
2017-12-04,2043
2017-12-04,1313
2016-04-04,912
2016-04-04,1412
2016-04-04,885
2016-04-04,928
2017-12-04,2395
2016-09-04,671
2017-11-04,2039
2017-11-04,1100
2016-07-04,1081
2016-07-04,1430
2017-09-04,1363
2017-09-04,2264
2017-09-04,583
2017-09-04,765
2017-09-04,1532
2017-09-04,1893
2017-09-04,939
2017-09-04,1426
2017-09-04,1857
2017-09-04,1480
2017-09-04,1540
2017-09-04,861
2017-09-04,1111
2017-09-04,1896
2016-09-04,2184
2016-07-04,949
2017-09-04,1859
2017-09-04,1413
2017-09-04,1639
2016-05-04,2190
2016-05-04,931
2016-05-04,1533
2016-05-04,619
2016-06-04,639
2016-06-04,2380
2016-06-04,888
2016-06-04,1580
2017-11-04,767
2016-06-04,512
2017-10-04,519
2017-10-04,1444
2017-10-04,2308
2017-10-04,1694
2017-10-04,1747
2017-10-04,1319
2017-10-04,1059
2017-09-04,2491
2016-06-04,596
2017-06-04,1306
2018-09-04,1002
2015-04-04,1016
2015-06-04,1990
2015-04-04,1500
2015-04-04,1904
2015-04-04,1075
2015-04-04,1613
2015-04-04,1501
2015-05-04,1347
2015-05-04,2244
2015-05-04,1399
2015-04-04,983
2015-05-04,1055
2015-05-04,590
2015-08-04,691
2015-08-04,1565
2015-08-04,2158
2015-03-04,1304
2015-03-04,1450
2015-06-04,832
2015-06-04,1566
2015-06-04,760
2015-05-04,933
2015-04-04,1593
2015-08-04,1126
2015-08-04,1075
2015-01-04,2033
2015-01-04,698
2015-01-04,759
2015-10-04,867
2015-10-04,1672
2015-10-04,842
2015-08-04,2238
2015-07-04,632
2015-07-04,2284
2015-10-04,1985
2015-07-04,1071
2015-08-04,621
2015-08-04,1620
2015-08-04,1025
2015-02-04,1033
2015-07-04,2011
2015-06-04,2122
2015-02-04,1871
2015-02-04,512
2017-03-05,1410
2017-11-05,1495
2017-11-05,1230
2015-08-05,2125
2015-08-05,2175
2015-08-05,2352
2015-08-05,1473
2017-03-05,1249
2017-11-05,1354
2017-11-05,527
2017-11-05,985
2017-04-05,695
2018-11-05,2352
2018-11-05,1509
2018-11-05,569
2018-11-05,1972
2018-11-05,2063
2018-11-05,1332
2018-11-05,1424
2018-11-05,1020
2018-11-05,1293
2017-11-05,1439
2017-11-05,2038
2017-11-05,2075
2017-11-05,1032
2017-11-05,2014
2017-11-05,871
2017-11-05,1069
2017-11-05,598
2017-11-05,1899
2016-01-05,508
2017-11-05,1614
2017-11-05,1132
2017-11-05,965
2017-11-05,2114
2017-11-05,1182
2016-01-05,1553
2017-02-05,927
2016-01-05,876
2015-05-05,1756
2015-05-05,2240
2017-12-05,2409
2017-12-05,2287
2017-12-05,1992
